language,source,total,correct,accuracy,ci_radius
bn,mgsm,1000,204,0.204,0.025
bn,polymath-low,500,114,0.228,0.0368
bn,total,1500,318,0.212,0.0207
de,mgsm,1000,525,0.525,0.031
de,polymath-low,500,241,0.482,0.0438
de,total,1500,766,0.5107,0.0253
es,mgsm,1000,567,0.567,0.0307
es,polymath-low,500,274,0.548,0.0436
es,total,1500,841,0.5607,0.0251
fr,mgsm,1000,552,0.552,0.0308
fr,polymath-low,500,264,0.528,0.0438
fr,total,1500,816,0.544,0.0252
ja,mgsm,1000,381,0.381,0.0301
ja,polymath-low,500,195,0.39,0.0428
ja,total,1500,576,0.384,0.0246
ru,mgsm,1000,518,0.518,0.031
ru,polymath-low,500,284,0.568,0.0434
ru,total,1500,802,0.5347,0.0252
th,mgsm,1000,430,0.43,0.0307
th,polymath-low,500,214,0.428,0.0434
th,total,1500,644,0.4293,0.025
