language,source,total,correct,accuracy,ci_radius
bn,mgsm,1000,315,0.315,0.0288
bn,polymath-low,500,140,0.28,0.0394
bn,total,1500,455,0.3033,0.0233
de,mgsm,1000,582,0.582,0.0306
de,polymath-low,500,264,0.528,0.0438
de,total,1500,846,0.564,0.0251
es,mgsm,1000,620,0.62,0.0301
es,polymath-low,500,303,0.606,0.0428
es,total,1500,923,0.6153,0.0246
fr,mgsm,1000,567,0.567,0.0307
fr,polymath-low,500,273,0.546,0.0436
fr,total,1500,840,0.56,0.0251
ja,mgsm,1000,477,0.477,0.031
ja,polymath-low,500,202,0.404,0.043
ja,total,1500,679,0.4527,0.0252
ru,mgsm,1000,612,0.612,0.0302
ru,polymath-low,500,302,0.604,0.0429
ru,total,1500,914,0.6093,0.0247
th,mgsm,1000,487,0.487,0.031
th,polymath-low,500,250,0.5,0.0438
th,total,1500,737,0.4913,0.0253
