language,source,total,correct,accuracy,ci_radius
th,mgsm,250,201,0.804,0.0492
th,polymath-low,125,91,0.728,0.078
th,total,375,292,0.7787,0.042
bn,mgsm,250,134,0.536,0.0618
bn,polymath-low,125,63,0.504,0.0877
bn,total,375,197,0.5253,0.0505
de,mgsm,250,206,0.824,0.0472
de,polymath-low,125,97,0.776,0.0731
de,total,375,303,0.808,0.0399
ja,mgsm,250,197,0.788,0.0507
ja,polymath-low,125,93,0.744,0.0765
ja,total,375,290,0.7733,0.0424
es,mgsm,250,210,0.84,0.0454
es,polymath-low,125,103,0.824,0.0668
es,total,375,313,0.8347,0.0376
ru,mgsm,250,215,0.86,0.043
ru,polymath-low,125,106,0.848,0.0629
ru,total,375,321,0.856,0.0355
fr,mgsm,250,207,0.828,0.0468
fr,polymath-low,125,100,0.8,0.0701
fr,total,375,307,0.8187,0.039
