language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2792,0.698,0.0142
bn,polymath-low,2000,1353,0.6765,0.0205
bn,total,6000,4145,0.6908,0.0117
de,mgsm,4000,3242,0.8105,0.0121
de,polymath-low,2000,1554,0.777,0.0182
de,total,6000,4796,0.7993,0.0101
es,mgsm,4000,3317,0.8293,0.0117
es,polymath-low,2000,1629,0.8145,0.017
es,total,6000,4946,0.8243,0.0096
fr,mgsm,4000,3202,0.8005,0.0124
fr,polymath-low,2000,1582,0.791,0.0178
fr,total,6000,4784,0.7973,0.0102
ja,mgsm,4000,3029,0.7572,0.0133
ja,polymath-low,2000,1455,0.7275,0.0195
ja,total,6000,4484,0.7473,0.011
ru,mgsm,4000,3354,0.8385,0.0114
ru,polymath-low,2000,1670,0.835,0.0163
ru,total,6000,5024,0.8373,0.0093
th,mgsm,4000,3168,0.792,0.0126
th,polymath-low,2000,1557,0.7785,0.0182
th,total,6000,4725,0.7875,0.0104
