language,source,total,correct,accuracy,ci_radius
bn,mgsm,250,76,0.304,0.057
bn,polymath-low,125,35,0.28,0.0787
bn,total,375,111,0.296,0.0462
de,mgsm,250,154,0.616,0.0603
de,polymath-low,125,70,0.56,0.087
de,total,375,224,0.5973,0.0496
es,mgsm,250,160,0.64,0.0595
es,polymath-low,125,76,0.608,0.0856
es,total,375,236,0.6293,0.0489
fr,mgsm,250,150,0.6,0.0607
fr,polymath-low,125,77,0.616,0.0853
fr,total,375,227,0.6053,0.0495
ja,mgsm,250,124,0.496,0.062
ja,polymath-low,125,60,0.48,0.0876
ja,total,375,184,0.4907,0.0506
ru,mgsm,250,164,0.656,0.0589
ru,polymath-low,125,78,0.624,0.0849
ru,total,375,242,0.6453,0.0484
th,mgsm,250,127,0.508,0.062
th,polymath-low,125,59,0.472,0.0875
th,total,375,186,0.496,0.0506
