language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,3128,0.782,0.0128
bn,polymath-low,2000,1603,0.8015,0.0175
bn,total,6000,4731,0.7885,0.0103
de,mgsm,4000,3444,0.861,0.0107
de,polymath-low,2000,1690,0.845,0.0159
de,total,6000,5134,0.8557,0.0089
es,mgsm,4000,3449,0.8622,0.0107
es,polymath-low,2000,1739,0.8695,0.0148
es,total,6000,5188,0.8647,0.0087
fr,mgsm,4000,3357,0.8393,0.0114
fr,polymath-low,2000,1712,0.856,0.0154
fr,total,6000,5069,0.8448,0.0092
ja,mgsm,4000,3196,0.799,0.0124
ja,polymath-low,2000,1563,0.7815,0.0181
ja,total,6000,4759,0.7932,0.0102
ru,mgsm,4000,3513,0.8782,0.0101
ru,polymath-low,2000,1778,0.889,0.0138
ru,total,6000,5291,0.8818,0.0082
th,mgsm,4000,3396,0.849,0.0111
th,polymath-low,2000,1691,0.8455,0.0158
th,total,6000,5087,0.8478,0.0091
en,mgsm,4000,3700,0.925,0.0082
en,polymath-low,2000,1879,0.9395,0.0104
en,total,6000,5579,0.9298,0.0065
