language,source,total,correct,accuracy,ci_radius
ja,mgsm,250,37,0.148,0.044
ja,polymath-low,125,12,0.096,0.0516
ja,total,375,49,0.1307,0.0341
de,mgsm,250,54,0.216,0.051
de,polymath-low,125,23,0.184,0.0679
de,total,375,77,0.2053,0.0409
ru,mgsm,250,69,0.276,0.0554
ru,polymath-low,125,31,0.248,0.0757
ru,total,375,100,0.2667,0.0448
fr,mgsm,250,62,0.248,0.0535
fr,polymath-low,125,29,0.232,0.074
fr,total,375,91,0.2427,0.0434
bn,mgsm,250,9,0.036,0.0231
bn,polymath-low,125,4,0.032,0.0309
bn,total,375,13,0.0347,0.0185
es,mgsm,250,69,0.276,0.0554
es,polymath-low,125,37,0.296,0.08
es,total,375,106,0.2827,0.0456
th,mgsm,250,38,0.152,0.0445
th,polymath-low,125,17,0.136,0.0601
th,total,375,55,0.1467,0.0358
