language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,1433,0.3583,0.0149
bn,polymath-low,2000,688,0.344,0.0208
bn,total,6000,2121,0.3535,0.0121
de,mgsm,4000,2681,0.6703,0.0146
de,polymath-low,2000,1288,0.644,0.021
de,total,6000,3969,0.6615,0.012
es,mgsm,4000,2981,0.7452,0.0135
es,polymath-low,2000,1423,0.7115,0.0199
es,total,6000,4404,0.734,0.0112
fr,mgsm,4000,2717,0.6793,0.0145
fr,polymath-low,2000,1311,0.6555,0.0208
fr,total,6000,4028,0.6713,0.0119
ja,mgsm,4000,2183,0.5457,0.0154
ja,polymath-low,2000,1084,0.542,0.0218
ja,total,6000,3267,0.5445,0.0126
ru,mgsm,4000,2896,0.724,0.0139
ru,polymath-low,2000,1400,0.7,0.0201
ru,total,6000,4296,0.716,0.0114
th,mgsm,4000,2410,0.6025,0.0152
th,polymath-low,2000,1109,0.5545,0.0218
th,total,6000,3519,0.5865,0.0125
en,mgsm,4000,3375,0.8438,0.0113
en,polymath-low,2000,1671,0.8355,0.0162
en,total,6000,5046,0.841,0.0093
