language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,3167,0.7917,0.0126
bn,polymath-low,2000,1613,0.8065,0.0173
bn,total,6000,4780,0.7967,0.0102
de,mgsm,4000,3434,0.8585,0.0108
de,polymath-low,2000,1685,0.8425,0.016
de,total,6000,5119,0.8532,0.009
es,mgsm,4000,3445,0.8612,0.0107
es,polymath-low,2000,1719,0.8595,0.0152
es,total,6000,5164,0.8607,0.0088
fr,mgsm,4000,3250,0.8125,0.0121
fr,polymath-low,2000,1652,0.826,0.0166
fr,total,6000,4902,0.817,0.0098
ja,mgsm,4000,3135,0.7837,0.0128
ja,polymath-low,2000,1521,0.7605,0.0187
ja,total,6000,4656,0.776,0.0105
ru,mgsm,4000,3520,0.88,0.0101
ru,polymath-low,2000,1747,0.8735,0.0146
ru,total,6000,5267,0.8778,0.0083
th,mgsm,4000,3421,0.8552,0.0109
th,polymath-low,2000,1623,0.8115,0.0171
th,total,6000,5044,0.8407,0.0093
en,mgsm,4000,3704,0.926,0.0081
en,polymath-low,2000,1877,0.9385,0.0105
en,total,6000,5581,0.9302,0.0064
