language,source,total,correct,accuracy,ci_radius
bn,mgsm,2000,1477,0.7385,0.0193
bn,polymath-low,1000,716,0.716,0.0279
bn,total,3000,2193,0.731,0.0159
de,mgsm,2000,1698,0.849,0.0157
de,polymath-low,1000,824,0.824,0.0236
de,total,3000,2522,0.8407,0.0131
es,mgsm,2000,1752,0.876,0.0144
es,polymath-low,1000,865,0.865,0.0212
es,total,3000,2617,0.8723,0.0119
fr,mgsm,2000,1720,0.86,0.0152
fr,polymath-low,1000,860,0.86,0.0215
fr,total,3000,2580,0.86,0.0124
ja,mgsm,2000,1605,0.8025,0.0174
ja,polymath-low,1000,765,0.765,0.0263
ja,total,3000,2370,0.79,0.0146
ru,mgsm,2000,1749,0.8745,0.0145
ru,polymath-low,1000,880,0.88,0.0201
ru,total,3000,2629,0.8763,0.0118
th,mgsm,2000,1673,0.8365,0.0162
th,polymath-low,1000,814,0.814,0.0241
th,total,3000,2487,0.829,0.0135
en,mgsm,2000,1847,0.9235,0.0116
en,polymath-low,1000,912,0.912,0.0176
en,total,3000,2759,0.9197,0.0097
