language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,121,0.0302,0.0053
bn,polymath-low,2000,67,0.0335,0.0079
bn,total,6000,188,0.0313,0.0044
de,mgsm,4000,943,0.2357,0.0132
de,polymath-low,2000,466,0.233,0.0185
de,total,6000,1409,0.2348,0.0107
es,mgsm,4000,1272,0.318,0.0144
es,polymath-low,2000,592,0.296,0.02
es,total,6000,1864,0.3107,0.0117
fr,mgsm,4000,1154,0.2885,0.014
fr,polymath-low,2000,562,0.281,0.0197
fr,total,6000,1716,0.286,0.0114
ja,mgsm,4000,570,0.1425,0.0108
ja,polymath-low,2000,316,0.158,0.016
ja,total,6000,886,0.1477,0.009
ru,mgsm,4000,941,0.2352,0.0131
ru,polymath-low,2000,509,0.2545,0.0191
ru,total,6000,1450,0.2417,0.0108
th,mgsm,4000,564,0.141,0.0108
th,polymath-low,2000,304,0.152,0.0157
th,total,6000,868,0.1447,0.0089
en,mgsm,4000,2014,0.5035,0.0155
en,polymath-low,2000,979,0.4895,0.0219
en,total,6000,2993,0.4988,0.0127
