language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,3287,0.8217,0.0119
bn,polymath-low,2000,1669,0.8345,0.0163
bn,total,6000,4956,0.826,0.0096
de,mgsm,4000,3490,0.8725,0.0103
de,polymath-low,2000,1761,0.8805,0.0142
de,total,6000,5251,0.8752,0.0084
es,mgsm,4000,3616,0.904,0.0091
es,polymath-low,2000,1816,0.908,0.0127
es,total,6000,5432,0.9053,0.0074
fr,mgsm,4000,3420,0.855,0.0109
fr,polymath-low,2000,1750,0.875,0.0145
fr,total,6000,5170,0.8617,0.0087
ja,mgsm,4000,3251,0.8127,0.0121
ja,polymath-low,2000,1628,0.814,0.0171
ja,total,6000,4879,0.8132,0.0099
ru,mgsm,4000,3614,0.9035,0.0092
ru,polymath-low,2000,1821,0.9105,0.0125
ru,total,6000,5435,0.9058,0.0074
th,mgsm,4000,3460,0.865,0.0106
th,polymath-low,2000,1714,0.857,0.0153
th,total,6000,5174,0.8623,0.0087
en,mgsm,4000,3679,0.9197,0.0084
en,polymath-low,2000,1859,0.9295,0.0112
en,total,6000,5538,0.923,0.0067
