language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2971,0.7428,0.0135
bn,polymath-low,2000,1441,0.7205,0.0197
bn,total,6000,4412,0.7353,0.0112
de,mgsm,4000,3351,0.8377,0.0114
de,polymath-low,2000,1653,0.8265,0.0166
de,total,6000,5004,0.834,0.0094
es,mgsm,4000,3373,0.8433,0.0113
es,polymath-low,2000,1699,0.8495,0.0157
es,total,6000,5072,0.8453,0.0091
fr,mgsm,4000,3205,0.8013,0.0124
fr,polymath-low,2000,1574,0.787,0.0179
fr,total,6000,4779,0.7965,0.0102
ja,mgsm,4000,3081,0.7702,0.013
ja,polymath-low,2000,1607,0.8035,0.0174
ja,total,6000,4688,0.7813,0.0105
ru,mgsm,4000,3444,0.861,0.0107
ru,polymath-low,2000,1747,0.8735,0.0146
ru,total,6000,5191,0.8652,0.0086
th,mgsm,4000,3100,0.775,0.0129
th,polymath-low,2000,1517,0.7585,0.0188
th,total,6000,4617,0.7695,0.0107
