language,source,total,correct,accuracy,ci_radius
th,mgsm,1000,510,0.51,0.031
th,polymath-low,500,247,0.494,0.0438
th,total,1500,757,0.5047,0.0253
bn,mgsm,1000,313,0.313,0.0287
bn,polymath-low,500,147,0.294,0.0399
bn,total,1500,460,0.3067,0.0233
de,mgsm,1000,585,0.585,0.0305
de,polymath-low,500,272,0.544,0.0437
de,total,1500,857,0.5713,0.025
ja,mgsm,1000,486,0.486,0.031
ja,polymath-low,500,225,0.45,0.0436
ja,total,1500,711,0.474,0.0253
es,mgsm,1000,596,0.596,0.0304
es,polymath-low,500,291,0.582,0.0432
es,total,1500,887,0.5913,0.0249
ru,mgsm,1000,622,0.622,0.0301
ru,polymath-low,500,305,0.61,0.0428
ru,total,1500,927,0.618,0.0246
fr,mgsm,1000,589,0.589,0.0305
fr,polymath-low,500,280,0.56,0.0435
fr,total,1500,869,0.5793,0.025
