language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,65,0.0163,0.0039
bn,polymath-low,2000,47,0.0235,0.0066
bn,total,6000,112,0.0187,0.0034
de,mgsm,4000,351,0.0877,0.0088
de,polymath-low,2000,190,0.095,0.0129
de,total,6000,541,0.0902,0.0072
es,mgsm,4000,857,0.2142,0.0127
es,polymath-low,2000,369,0.1845,0.017
es,total,6000,1226,0.2043,0.0102
fr,mgsm,4000,745,0.1862,0.0121
fr,polymath-low,2000,359,0.1795,0.0168
fr,total,6000,1104,0.184,0.0098
ja,mgsm,4000,292,0.073,0.0081
ja,polymath-low,2000,136,0.068,0.011
ja,total,6000,428,0.0713,0.0065
ru,mgsm,4000,604,0.151,0.0111
ru,polymath-low,2000,286,0.143,0.0153
ru,total,6000,890,0.1483,0.009
th,mgsm,4000,258,0.0645,0.0076
th,polymath-low,2000,135,0.0675,0.011
th,total,6000,393,0.0655,0.0063
en,mgsm,4000,1988,0.497,0.0155
en,polymath-low,2000,973,0.4865,0.0219
en,total,6000,2961,0.4935,0.0127
