language,source,total,correct,accuracy,ci_radius
bn,mgsm,2000,1514,0.757,0.0188
bn,polymath-low,1000,743,0.743,0.0271
bn,total,3000,2257,0.7523,0.0154
de,mgsm,2000,1698,0.849,0.0157
de,polymath-low,1000,829,0.829,0.0233
de,total,3000,2527,0.8423,0.013
es,mgsm,2000,1756,0.878,0.0143
es,polymath-low,1000,882,0.882,0.02
es,total,3000,2638,0.8793,0.0117
fr,mgsm,2000,1692,0.846,0.0158
fr,polymath-low,1000,841,0.841,0.0227
fr,total,3000,2533,0.8443,0.013
ja,mgsm,2000,1563,0.7815,0.0181
ja,polymath-low,1000,740,0.74,0.0272
ja,total,3000,2303,0.7677,0.0151
ru,mgsm,2000,1773,0.8865,0.0139
ru,polymath-low,1000,869,0.869,0.0209
ru,total,3000,2642,0.8807,0.0116
th,mgsm,2000,1668,0.834,0.0163
th,polymath-low,1000,792,0.792,0.0252
th,total,3000,2460,0.82,0.0137
