language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,123,0.0307,0.0054
bn,polymath-low,2000,62,0.031,0.0076
bn,total,6000,185,0.0308,0.0044
de,mgsm,4000,780,0.195,0.0123
de,polymath-low,2000,403,0.2015,0.0176
de,total,6000,1183,0.1972,0.0101
es,mgsm,4000,1232,0.308,0.0143
es,polymath-low,2000,564,0.282,0.0197
es,total,6000,1796,0.2993,0.0116
fr,mgsm,4000,1135,0.2838,0.014
fr,polymath-low,2000,566,0.283,0.0197
fr,total,6000,1701,0.2835,0.0114
ja,mgsm,4000,380,0.095,0.0091
ja,polymath-low,2000,200,0.1,0.0131
ja,total,6000,580,0.0967,0.0075
ru,mgsm,4000,939,0.2347,0.0131
ru,polymath-low,2000,472,0.236,0.0186
ru,total,6000,1411,0.2352,0.0107
th,mgsm,4000,432,0.108,0.0096
th,polymath-low,2000,226,0.113,0.0139
th,total,6000,658,0.1097,0.0079
en,mgsm,4000,2017,0.5042,0.0155
en,polymath-low,2000,989,0.4945,0.0219
en,total,6000,3006,0.501,0.0127
