language,source,total,correct,accuracy,ci_radius
bn,mgsm,4000,2122,0.5305,0.0155
bn,polymath-low,2000,1009,0.5045,0.0219
bn,total,6000,3131,0.5218,0.0126
de,mgsm,4000,2990,0.7475,0.0135
de,polymath-low,2000,1434,0.717,0.0197
de,total,6000,4424,0.7373,0.0111
es,mgsm,4000,3120,0.78,0.0128
es,polymath-low,2000,1542,0.771,0.0184
es,total,6000,4662,0.777,0.0105
fr,mgsm,4000,3089,0.7722,0.013
fr,polymath-low,2000,1518,0.759,0.0187
fr,total,6000,4607,0.7678,0.0107
ja,mgsm,4000,2543,0.6358,0.0149
ja,polymath-low,2000,1236,0.618,0.0213
ja,total,6000,3779,0.6298,0.0122
ru,mgsm,4000,3081,0.7702,0.013
ru,polymath-low,2000,1510,0.755,0.0188
ru,total,6000,4591,0.7652,0.0107
th,mgsm,4000,2593,0.6482,0.0148
th,polymath-low,2000,1240,0.62,0.0213
th,total,6000,3833,0.6388,0.0122
en,mgsm,4000,3406,0.8515,0.011
en,polymath-low,2000,1664,0.832,0.0164
en,total,6000,5070,0.845,0.0092
