language,source,total,correct,accuracy,ci_radius
th,mgsm,250,186,0.744,0.0541
th,polymath-low,125,93,0.744,0.0765
th,total,375,279,0.744,0.0442
bn,mgsm,250,169,0.676,0.058
bn,polymath-low,125,80,0.64,0.0841
bn,total,375,249,0.664,0.0478
de,mgsm,250,205,0.82,0.0476
de,polymath-low,125,95,0.76,0.0749
de,total,375,300,0.8,0.0405
ja,mgsm,250,195,0.78,0.0514
ja,polymath-low,125,90,0.72,0.0787
ja,total,375,285,0.76,0.0432
es,mgsm,250,210,0.84,0.0454
es,polymath-low,125,104,0.832,0.0655
es,total,375,314,0.8373,0.0374
ru,mgsm,250,211,0.844,0.045
ru,polymath-low,125,98,0.784,0.0721
ru,total,375,309,0.824,0.0385
fr,mgsm,250,201,0.804,0.0492
fr,polymath-low,125,98,0.784,0.0721
fr,total,375,299,0.7973,0.0407
